omega_1_1_4
omega_1_2_25
omega_1_3_11
omega_1_4_12
omega_1_5_12
omega_1_6_25
omega_2_1_2
omega_2_2_0
omega_2_3_1
omega_2_4_0
omega_2_5_3
omega_2_6_3
omega_3_1_5
omega_3_2_6
omega_3_3_5
omega_3_4_5
omega_3_5_5
omega_3_6_4
omega_4_1_14
omega_4_2_20
omega_4_3_2
omega_4_4_8
omega_4_5_16
omega_4_6_3
omega_5_1_6
omega_5_2_0
omega_5_3_2
omega_5_4_2
omega_5_5_13
omega_5_6_0
omega_6_1_9
omega_6_2_3
omega_6_3_1
omega_6_4_4
omega_6_5_2
omega_6_6_3
omega_7_1_1
omega_7_2_1
omega_7_3_0
omega_7_4_15
omega_7_5_3
omega_7_6_2
omega_8_1_5
omega_8_2_4
omega_8_3_5
omega_8_4_2
omega_8_5_5
omega_8_6_5
omega_9_1_5
omega_9_2_8
omega_9_3_23
omega_9_4_9
omega_9_5_1
omega_9_6_6
omega_10_1_0
omega_10_2_0
omega_10_3_1
omega_10_4_2
omega_10_5_2
omega_10_6_9
omega_11_1_5
