omega_1_1_23
omega_1_2_16
omega_1_3_12
omega_2_1_1
omega_2_2_2
omega_2_3_1
omega_3_1_17
omega_3_2_3
omega_3_3_2
omega_4_1_1
omega_4_2_2
omega_4_3_0
omega_5_1_0
omega_5_2_2
omega_5_3_3
omega_6_1_3
omega_6_2_3
omega_6_3_2
omega_7_1_1
omega_7_2_6
omega_7_3_2
omega_8_1_1
omega_8_2_8
omega_8_3_2
omega_9_1_1
omega_9_2_8
omega_9_3_17
omega_10_1_24
omega_10_2_0
omega_10_3_1
omega_11_1_2
