omega_1_1_10
omega_1_2_10
omega_1_3_10
omega_1_4_2
omega_1_5_8
omega_2_1_4
omega_2_2_3
omega_2_3_1
omega_2_4_1
omega_2_5_8
omega_3_1_3
omega_3_2_6
omega_3_3_2
omega_3_4_5
omega_3_5_2
omega_4_1_2
omega_4_2_2
omega_4_3_2
omega_4_4_1
omega_4_5_1
omega_5_1_10
omega_5_2_8
omega_5_3_6
omega_5_4_9
omega_5_5_1
omega_6_1_8
omega_6_2_0
omega_6_3_3
omega_6_4_1
omega_6_5_1
omega_7_1_1
omega_7_2_1
omega_7_3_1
omega_7_4_3
omega_7_5_1
omega_8_1_5
omega_8_2_10
omega_8_3_10
omega_8_4_10
omega_8_5_4
omega_9_1_0
omega_9_2_2
omega_9_3_2
omega_9_4_0
omega_9_5_2
omega_10_1_1
omega_10_2_1
omega_10_3_5
omega_10_4_3
omega_10_5_4
omega_11_1_3
