omega_1_1_8
omega_1_2_9
omega_1_3_9
omega_1_4_9
omega_1_5_4
omega_2_1_6
omega_2_2_5
omega_2_3_10
omega_2_4_2
omega_2_5_1
omega_3_1_4
omega_3_2_5
omega_3_3_9
omega_3_4_5
omega_3_5_1
omega_4_1_4
omega_4_2_1
omega_4_3_9
omega_4_4_5
omega_4_5_4
omega_5_1_1
omega_5_2_3
omega_5_3_1
omega_5_4_0
omega_5_5_6
omega_6_1_2
omega_6_2_4
omega_6_3_4
omega_6_4_2
omega_6_5_2
omega_7_1_1
omega_7_2_1
omega_7_3_2
omega_7_4_1
omega_7_5_1
omega_8_1_6
omega_8_2_10
omega_8_3_5
omega_8_4_2
omega_8_5_1
omega_9_1_0
omega_9_2_2
omega_9_3_3
omega_9_4_5
omega_9_5_10
omega_10_1_0
omega_10_2_10
omega_10_3_0
omega_10_4_2
omega_10_5_0
omega_11_1_1
omega_11_2_4
omega_11_3_10
omega_11_4_8
omega_11_5_1
omega_12_1_5
omega_12_2_3
omega_12_3_7
omega_12_4_5
omega_12_5_10
omega_13_1_0
omega_13_2_3
omega_13_3_0
omega_13_4_0
omega_13_5_1
omega_14_1_4
omega_14_2_4
omega_14_3_1
omega_14_4_4
omega_14_5_4
omega_15_1_8
omega_15_2_8
omega_15_3_8
omega_15_4_3
omega_15_5_1
omega_16_1_8
omega_16_2_0
omega_16_3_2
omega_16_4_1
omega_16_5_0
omega_17_1_0
omega_17_2_4
omega_17_3_8
omega_17_4_6
omega_17_5_9
omega_18_1_10
omega_18_2_8
omega_18_3_8
omega_18_4_2
omega_18_5_1
omega_19_1_0
omega_19_2_2
omega_19_3_0
omega_19_4_0
omega_19_5_0
omega_20_1_5
omega_20_2_0
omega_20_3_3
omega_20_4_0
omega_20_5_1
omega_21_1_5
