omega_1_1_14
omega_1_2_13
omega_1_3_7
omega_1_4_14
omega_1_5_14
omega_1_6_21
omega_1_7_1
omega_1_8_1
omega_2_1_0
omega_2_2_4
omega_2_3_4
omega_2_4_3
omega_2_5_4
omega_2_6_4
omega_2_7_4
omega_2_8_2
omega_3_1_5
