omega_1_1_0
omega_1_2_15
omega_1_3_14
omega_1_4_14
omega_1_5_4
omega_1_6_6
omega_1_7_16
omega_1_8_16
omega_2_1_6
omega_2_2_14
omega_2_3_8
omega_2_4_13
omega_2_5_0
omega_2_6_5
omega_2_7_8
omega_2_8_17
omega_3_1_3
omega_3_2_3
omega_3_3_3
omega_3_4_25
omega_3_5_3
omega_3_6_1
omega_3_7_1
omega_3_8_25
omega_4_1_1
omega_4_2_3
omega_4_3_5
omega_4_4_18
omega_4_5_8
omega_4_6_15
omega_4_7_4
omega_4_8_4
omega_5_1_7
omega_5_2_23
omega_5_3_6
omega_5_4_6
omega_5_5_19
omega_5_6_24
omega_5_7_5
omega_5_8_6
omega_6_1_0
omega_6_2_0
omega_6_3_4
omega_6_4_25
omega_6_5_5
omega_6_6_0
omega_6_7_2
omega_6_8_1
omega_7_1_10
omega_7_2_13
omega_7_3_6
omega_7_4_14
omega_7_5_4
omega_7_6_24
omega_7_7_4
omega_7_8_0
omega_8_1_4
omega_8_2_6
omega_8_3_1
omega_8_4_1
omega_8_5_0
omega_8_6_0
omega_8_7_2
omega_8_8_5
omega_9_1_5
omega_9_2_4
omega_9_3_4
omega_9_4_1
omega_9_5_3
omega_9_6_5
omega_9_7_5
omega_9_8_6
omega_10_1_3
omega_10_2_1
omega_10_3_0
omega_10_4_5
omega_10_5_5
omega_10_6_1
omega_10_7_25
omega_10_8_4
omega_11_1_7
omega_11_2_5
omega_11_3_5
omega_11_4_6
omega_11_5_8
omega_11_6_17
omega_11_7_7
omega_11_8_5
omega_12_1_3
omega_12_2_3
omega_12_3_1
omega_12_4_0
omega_12_5_3
omega_12_6_0
omega_12_7_0
omega_12_8_5
omega_13_1_19
omega_13_2_11
omega_13_3_6
omega_13_4_15
omega_13_5_8
omega_13_6_7
omega_13_7_23
omega_13_8_15
omega_14_1_4
omega_14_2_2
omega_14_3_3
omega_14_4_6
omega_14_5_1
omega_14_6_0
omega_14_7_3
omega_14_8_5
omega_15_1_5
