omega_1_1_1
omega_1_2_5
omega_1_3_10
omega_1_4_5
omega_2_1_2
omega_2_2_3
omega_2_3_1
omega_2_4_1
omega_3_1_10
omega_3_2_7
omega_3_3_7
omega_3_4_3
omega_4_1_5
omega_4_2_6
omega_4_3_1
omega_4_4_0
omega_5_1_2
omega_5_2_2
omega_5_3_2
omega_5_4_2
omega_6_1_0
omega_6_2_0
omega_6_3_1
omega_6_4_0
omega_7_1_4
omega_7_2_4
omega_7_3_4
omega_7_4_0
omega_8_1_1
omega_8_2_4
omega_8_3_9
omega_8_4_4
omega_9_1_1
omega_9_2_1
omega_9_3_2
omega_9_4_8
omega_10_1_0
omega_10_2_0
omega_10_3_0
omega_10_4_3
omega_11_1_4
omega_11_2_0
omega_11_3_2
omega_11_4_2
omega_12_1_9
omega_12_2_3
omega_12_3_4
omega_12_4_1
omega_13_1_3
omega_13_2_2
omega_13_3_3
omega_13_4_3
omega_14_1_1
omega_14_2_0
omega_14_3_2
omega_14_4_0
omega_15_1_8
omega_15_2_4
omega_15_3_7
omega_15_4_9
omega_16_1_1
