omega_1_1_8
omega_1_2_8
omega_1_3_8
omega_1_4_8
omega_1_5_8
omega_1_6_8
omega_1_7_8
omega_1_8_8
omega_1_9_8
omega_1_10_8
omega_2_1_1
omega_2_2_1
omega_2_3_10
omega_2_4_10
omega_2_5_10
omega_2_6_10
omega_2_7_10
omega_2_8_10
omega_2_9_10
omega_2_10_10
omega_3_1_10
