omega_1_1_4
omega_1_2_4
omega_1_3_4
omega_1_4_5
omega_1_5_4
omega_1_6_2
omega_1_7_5
omega_1_8_5
omega_2_1_9
omega_2_2_0
omega_2_3_10
omega_2_4_1
omega_2_5_8
omega_2_6_9
omega_2_7_9
omega_2_8_9
omega_3_1_3
omega_3_2_1
omega_3_3_1
omega_3_4_7
omega_3_5_7
omega_3_6_9
omega_3_7_2
omega_3_8_4
omega_4_1_4
omega_4_2_4
omega_4_3_4
omega_4_4_8
omega_4_5_4
omega_4_6_10
omega_4_7_4
omega_4_8_7
omega_5_1_7
omega_5_2_7
omega_5_3_9
omega_5_4_0
omega_5_5_4
omega_5_6_2
omega_5_7_0
omega_5_8_10
omega_6_1_0
omega_6_2_0
omega_6_3_0
omega_6_4_3
omega_6_5_1
omega_6_6_3
omega_6_7_9
omega_6_8_3
omega_7_1_10
omega_7_2_4
omega_7_3_9
omega_7_4_5
omega_7_5_10
omega_7_6_1
omega_7_7_6
omega_7_8_10
omega_8_1_8
omega_8_2_7
omega_8_3_5
omega_8_4_4
omega_8_5_5
omega_8_6_5
omega_8_7_4
omega_8_8_10
omega_9_1_0
omega_9_2_0
omega_9_3_0
omega_9_4_0
omega_9_5_2
omega_9_6_0
omega_9_7_0
omega_9_8_2
omega_10_1_10
omega_10_2_3
omega_10_3_6
omega_10_4_10
omega_10_5_7
omega_10_6_8
omega_10_7_8
omega_10_8_7
omega_11_1_4
