omega_1_1_4
omega_1_2_0
omega_1_3_4
omega_1_4_5
omega_1_5_5
omega_1_6_4
omega_1_7_6
omega_1_8_4
omega_2_1_0
omega_2_2_0
omega_2_3_7
omega_2_4_6
omega_2_5_7
omega_2_6_4
omega_2_7_6
omega_2_8_0
omega_3_1_5
omega_3_2_5
omega_3_3_0
omega_3_4_8
omega_3_5_5
omega_3_6_2
omega_3_7_7
omega_3_8_0
omega_4_1_8
omega_4_2_4
omega_4_3_6
omega_4_4_7
omega_4_5_9
omega_4_6_5
omega_4_7_1
omega_4_8_4
omega_5_1_7
omega_5_2_1
omega_5_3_5
omega_5_4_6
omega_5_5_5
omega_5_6_1
omega_5_7_0
omega_5_8_4
omega_6_1_9
omega_6_2_6
omega_6_3_9
omega_6_4_10
omega_6_5_1
omega_6_6_3
omega_6_7_1
omega_6_8_0
omega_7_1_2
omega_7_2_1
omega_7_3_9
omega_7_4_5
omega_7_5_8
omega_7_6_3
omega_7_7_3
omega_7_8_0
omega_8_1_9
omega_8_2_8
omega_8_3_8
omega_8_4_0
omega_8_5_9
omega_8_6_6
omega_8_7_4
omega_8_8_6
omega_9_1_1
omega_9_2_9
omega_9_3_1
omega_9_4_2
omega_9_5_9
omega_9_6_3
omega_9_7_9
omega_9_8_0
omega_10_1_5
omega_10_2_6
omega_10_3_7
omega_10_4_8
omega_10_5_10
omega_10_6_9
omega_10_7_10
omega_10_8_4
omega_11_1_6
omega_11_2_9
omega_11_3_6
omega_11_4_2
omega_11_5_7
omega_11_6_9
omega_11_7_6
omega_11_8_7
omega_12_1_0
omega_12_2_0
omega_12_3_1
omega_12_4_0
omega_12_5_3
omega_12_6_2
omega_12_7_4
omega_12_8_4
omega_13_1_1
omega_13_2_3
omega_13_3_10
omega_13_4_9
omega_13_5_3
omega_13_6_6
omega_13_7_4
omega_13_8_8
omega_14_1_7
omega_14_2_7
omega_14_3_5
omega_14_4_5
omega_14_5_5
omega_14_6_4
omega_14_7_6
omega_14_8_5
omega_15_1_0
omega_15_2_0
omega_15_3_0
omega_15_4_1
omega_15_5_2
omega_15_6_3
omega_15_7_0
omega_15_8_2
omega_16_1_5
