omega_1_1_9
omega_1_2_12
omega_1_3_15
omega_1_4_4
omega_1_5_9
omega_1_6_19
omega_1_7_13
omega_1_8_13
omega_1_9_13
omega_1_10_15
omega_2_1_23
omega_2_2_6
omega_2_3_11
omega_2_4_18
omega_2_5_4
omega_2_6_5
omega_2_7_15
omega_2_8_7
omega_2_9_0
omega_2_10_3
omega_3_1_2
omega_3_2_2
omega_3_3_3
omega_3_4_2
omega_3_5_1
omega_3_6_20
omega_3_7_25
omega_3_8_16
omega_3_9_16
omega_3_10_16
omega_4_1_17
omega_4_2_23
omega_4_3_16
omega_4_4_6
omega_4_5_6
omega_4_6_3
omega_4_7_5
omega_4_8_19
omega_4_9_0
omega_4_10_4
omega_5_1_4
omega_5_2_4
omega_5_3_4
omega_5_4_4
omega_5_5_4
omega_5_6_4
omega_5_7_2
omega_5_8_16
omega_5_9_1
omega_5_10_2
omega_6_1_1
omega_6_2_14
omega_6_3_20
omega_6_4_8
omega_6_5_12
omega_6_6_18
omega_6_7_16
omega_6_8_1
omega_6_9_2
omega_6_10_2
omega_7_1_6
omega_7_2_3
omega_7_3_3
omega_7_4_2
omega_7_5_2
omega_7_6_6
omega_7_7_1
omega_7_8_2
omega_7_9_5
omega_7_10_5
omega_8_1_7
