omega_1_1_10
omega_1_2_0
omega_1_3_9
omega_1_4_16
omega_1_5_9
omega_1_6_1
omega_1_7_9
omega_1_8_9
omega_1_9_12
omega_1_10_14
omega_2_1_8
omega_2_2_21
omega_2_3_13
omega_2_4_25
omega_2_5_16
omega_2_6_9
omega_2_7_18
omega_2_8_11
omega_2_9_8
omega_2_10_8
omega_3_1_4
omega_3_2_18
omega_3_3_9
omega_3_4_18
omega_3_5_1
omega_3_6_3
omega_3_7_3
omega_3_8_20
omega_3_9_1
omega_3_10_2
omega_4_1_2
omega_4_2_2
omega_4_3_2
omega_4_4_2
omega_4_5_18
omega_4_6_0
omega_4_7_2
omega_4_8_1
omega_4_9_0
omega_4_10_14
omega_5_1_0
omega_5_2_0
omega_5_3_0
omega_5_4_8
omega_5_5_6
omega_5_6_6
omega_5_7_6
omega_5_8_0
omega_5_9_8
omega_5_10_2
omega_6_1_9
omega_6_2_10
omega_6_3_5
omega_6_4_4
omega_6_5_9
omega_6_6_10
omega_6_7_4
omega_6_8_4
omega_6_9_6
omega_6_10_4
omega_7_1_5
omega_7_2_5
omega_7_3_3
omega_7_4_4
omega_7_5_5
omega_7_6_1
omega_7_7_4
omega_7_8_0
omega_7_9_9
omega_7_10_1
omega_8_1_17
omega_8_2_20
omega_8_3_2
omega_8_4_23
omega_8_5_7
omega_8_6_22
omega_8_7_13
omega_8_8_24
omega_8_9_18
omega_8_10_10
omega_9_1_3
