omega_1_1_16
omega_1_2_25
omega_1_3_2
omega_1_4_16
omega_1_5_21
omega_1_6_19
omega_1_7_18
omega_1_8_12
omega_1_9_25
omega_1_10_14
omega_2_1_21
omega_2_2_16
omega_2_3_7
omega_2_4_6
omega_2_5_25
omega_2_6_11
omega_2_7_6
omega_2_8_2
omega_2_9_4
omega_2_10_12
omega_3_1_1
omega_3_2_1
omega_3_3_0
omega_3_4_1
omega_3_5_1
omega_3_6_1
omega_3_7_0
omega_3_8_1
omega_3_9_1
omega_3_10_23
omega_4_1_2
omega_4_2_5
omega_4_3_13
omega_4_4_25
omega_4_5_6
omega_4_6_1
omega_4_7_9
omega_4_8_8
omega_4_9_1
omega_4_10_12
omega_5_1_2
omega_5_2_0
omega_5_3_2
omega_5_4_4
omega_5_5_2
omega_5_6_1
omega_5_7_3
omega_5_8_5
omega_5_9_24
omega_5_10_0
omega_6_1_2
omega_6_2_1
omega_6_3_0
omega_6_4_8
omega_6_5_8
omega_6_6_1
omega_6_7_17
omega_6_8_14
omega_6_9_24
omega_6_10_19
omega_7_1_0
omega_7_2_13
omega_7_3_10
omega_7_4_11
omega_7_5_23
omega_7_6_1
omega_7_7_24
omega_7_8_10
omega_7_9_13
omega_7_10_6
omega_8_1_4
omega_8_2_2
omega_8_3_0
omega_8_4_2
omega_8_5_3
omega_8_6_3
omega_8_7_0
omega_8_8_3
omega_8_9_23
omega_8_10_19
omega_9_1_15
omega_9_2_5
omega_9_3_13
omega_9_4_16
omega_9_5_20
omega_9_6_1
omega_9_7_1
omega_9_8_2
omega_9_9_1
omega_9_10_4
omega_10_1_6
