Dataset_10
Depth: 10 Layer size: 10 Evaluation: True
end
Dataset_9
Depth: 9 Layer size: 9 Evaluation: True
end
Dataset_8
Depth: 8 Layer size: 8 Evaluation: True
end
Dataset_7
Depth: 7 Layer size: 7 Evaluation: True
end
Dataset_6
Depth: 6 Layer size: 6 Evaluation: True
end
Dataset_5
Depth: 5 Layer size: 5 Evaluation: True
end
Dataset_4
Depth: 4 Layer size: 4 Evaluation: True
end
Dataset_3
Depth: 3 Layer size: 3 Evaluation: True
end
Dataset_2
Depth: 2 Layer size: 2 Evaluation: True
end
Dataset_1
Depth: 1 Layer size: 1 Evaluation: True
end
